commit	component	memory_score	storage_score	recall_score	model_mb	latency_ms	status	description
5af82d8	typing	0.709694	0.897001	0.272646	8.4	6.3	keep	typing ckpt=google/bert_uncased_L-2_H-128_A-2 lr=0.0003 steps=4383 loss=0.1230
5af82d8	typing	0.781794	1.000000	0.272646	8.4	5.8	keep	typing ckpt=google/bert_uncased_L-2_H-128_A-2 lr=0.0003 steps=7871 loss=0.0599
5af82d8	typing	0.781794	1.000000	0.272646	8.4	6.1	keep	typing ckpt=google/bert_uncased_L-2_H-128_A-2 lr=0.0001 steps=7852 loss=0.0705
5af82d8	typing	0.707811	0.894311	0.272646	8.4	6.0	discard_full	typing ckpt=google/bert_uncased_L-2_H-128_A-2 lr=0.0003 steps=11742 loss=0.0452
5af82d8	embedding	0.271299	0.378871	0.244406	11.0	209.6	discard	embedding ckpt=sentence-transformers/all-MiniLM-L6-v2 lr=0.0003 steps=609 loss=2.1900
5af82d8	reranker	0.293891	0.378871	0.272646	11.0	67.5	discard_full	reranker ckpt=cross-encoder/ms-marco-MiniLM-L-6-v2 lr=0.0003 steps=2638 loss=0.6770
5af82d8	typing	0.738558	0.938235	0.272646	8.4	4.6	discard_full	typing ckpt=google/bert_uncased_L-2_H-128_A-2 lr=0.0005 steps=8361 loss=0.0866
33f99b6	typing	0.428230	0.448355	0.381270	8.4	4.3	discard	typing ckpt=google/bert_uncased_L-2_H-128_A-2 lr=0.0005 steps=6879 loss=0.0908 reason=memory_score regressed or improved too little (delta=-0.2042)
47d2b9e	typing	0.532646	0.434119	0.762541	8.4	6.3	keep	typing ckpt=google/bert_uncased_L-2_H-128_A-2 lr=0.0005 steps=7691 loss=0.0791 reason=no baseline summary present; establishing first product-aligned baseline
1db9a13	typing	0.540138	0.444822	0.762541	8.4	4.9	keep	typing ckpt=google/bert_uncased_L-2_H-128_A-2 lr=0.0005 steps=7857 loss=0.0822 reason=no compatible typing baseline report present; establishing new product-aligned baseline
1db9a13	typing	0.414830	0.265811	0.762541	43.1	16.0	discard	typing ckpt=nreimers/MiniLM-L6-H384-uncased lr=0.0005 steps=797 loss=0.4993 reason=hard gate failed: model_mb=43.1, latency_ms=16.0
1db9a13	typing	0.528171	0.424921	0.769087	8.4	4.6	discard	typing ckpt=google/bert_uncased_L-2_H-128_A-2 lr=0.0005 steps=4466 loss=0.1108 reason=memory_score regressed or improved too little (delta=-0.0203)
1db9a13	typing	0.482560	0.359763	0.769087	8.4	6.3	discard	typing ckpt=google/bert_uncased_L-2_H-128_A-2 lr=0.0005 steps=3209 loss=0.1723 reason=memory_score regressed or improved too little (delta=-0.0660)
1db9a13	typing	0.518601	0.411250	0.769087	8.4	5.3	discard	typing ckpt=google/bert_uncased_L-2_H-128_A-2 lr=0.0005 cw_amp=1.0 focal_gamma=2.0 steps=4090 loss=0.0866 reason=memory_score regressed or improved too little (delta=-0.0299)
1db9a13	typing	0.563633	0.475582	0.769087	8.4	7.9	discard	typing ckpt=google/bert_uncased_L-2_H-128_A-2 lr=0.0005 cw_amp=0.0 sampler=balanced focal_gamma=None steps=6135 loss=0.0543 reason=quick fail: longmemeval regressed (delta=-0.0276)
